FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Nacho,Monreal,DEF,ARS,5900000,0,70,3,5.08474576271186E-07,1.1864406779661E-05,0,235859,3,27,0,0,0,0,0,11.9,5262,-1,0,70,1,0.5,0,3,6,0,6,0,2,3.4,129772,0,511,0,0,1983,369,0,0,427,Liverpool,West Brom,Man City,West Ham,Crystal Palace,3.3,0,2.9,3,4,3.3,2.6,3,2.3,2.4,3,3.2
Jefferson,Montero,MID,SWA,5000000,0,16,0.205128205128205,4.1025641025641E-08,3.2E-06,0,8510,0,9,0,0,0,0,0,3.2,22,-5,0,16,5,0,0,0,0,0,0,0,1,0.1,2373,0,202,0,0,347,5,0,0,70,Burnley,Hull City,Bournemouth,Middlesbrough,Tottenham,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alberto,Moreno,DEF,LIV,4400000,1,12,0.153846153846154,3.4965034965035E-08,2.72727272727273E-06,0,148141,1,7,0,0,0,0,0,2.7,351,-6,0,12,6,0.2,0,0.7,1,0,0,0,1,1.5,17265,0,394,0,0,290,156,0,0,67,Arsenal,Burnley,Man City,Everton,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Wes,Morgan,DEF,LEI,4700000,2,61,2.3,4.8936170212766E-07,1.29787234042553E-05,0,785909,3,44,0,0,0,1,0,13,7192,-3,0,61,3,0.3,0,1.3,0,0,5,0,1,12.2,297088,0,549,0,0,2340,4432,0,0,354,Hull City,West Ham,Stoke,Sunderland,Everton,2.7,0,2.1,2.7,2.2,1.3,1.9,2.7,1.6,2.2,1.5,2.8
James,Morrison,MID,WBA,4700000,2,71,0.91025641025641,1.936715766503E-07,1.51063829787234E-05,0,32831,2,14,0,0,0,5,0,15.1,5927,-3,0,71,3,1.1,0,5.3,4,0,4,0,2,2.6,140560,0,266,0,0,1226,25380,0,0,260,Crystal Palace,Everton,Arsenal,Man Utd,Watford,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5
Victor,Moses,MID,CHE,5600000,2,85,3.4,6.07142857142857E-07,1.51785714285714E-05,0,206497,3,9,0,0,0,3,0,15.2,9688,1,0,85,-1,0.6,0,3.3,6,0,13,0,3,3.1,316132,0,127,0,1,1758,10643,0,0,372,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,2,0,2.5,3.3,2.7,2.4,2.7,3.5,2.4,3.8,2.2,4.5
Lys,Mousset,FWD,BOU,5100000,1,3,0.0384615384615385,7.54147812971342E-09,5.88235294117647E-07,0,3365,0,1,0,0,0,0,0,0.6,33,-4,0,3,4,0.1,0,0.3,0,0,0,0,0,0.1,1446,0,0,0,0,37,27,0,0,3,Man Utd,West Ham,Swansea,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0
Marc,Muniesa,DEF,STK,4100000,0,23,0.294871794871795,7.19199499687305E-08,5.60975609756098E-06,0,41182,1,3,0,0,0,1,0,5.6,1535,-4,0,23,4,0,0,0,3,0,2,0,0,0.8,62067,0,111,0,1,289,829,0,0,88,Middlesbrough,Man City,Chelsea,Leicester,Burnley,0.2,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ahmed,Musa,FWD,LEI,6900000,0,36,0.461538461538462,6.68896321070234E-08,5.21739130434783E-06,0,414258,1,18,0,0,0,2,0,5.2,594,-6,0,36,6,0,0,0.3,5,0,1,0,0,3.1,78266,0,0,0,0,703,158,0,0,122,Hull City,West Ham,Stoke,Sunderland,Everton,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Shkodran,Mustafi,DEF,ARS,5800000,0,57,3.2,5.51724137931035E-07,9.82758620689655E-06,0,104220,6,18,0,0,0,1,0,9.8,2390,-2,0,57,2,0.6,0,3.5,3,0,5,0,1,1.3,128012,0,0,0,0,1554,930,0,0,344,Liverpool,West Brom,Man City,West Ham,Crystal Palace,3.7,0,3.2,3.3,4.3,3.6,2.9,3.3,2.5,2.7,3.3,3.5
Jordon,Mutch,MID,CRY,4200000,0,4,1,2.38095238095238E-07,9.52380952380952E-07,0,18591,0,1,0,0,0,0,0,1,508,-3,0,4,3,0,0,0,0,0,0,0,0,0.3,20127,0,54,0,0,53,52,0,0,17,West Brom,Watford,Chelsea,Southampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
Boaz,Myhill,GLK,WBA,4200000,0,0,0,0,0,0,36370,0,0,0,0,0,0,0,0,198,-3,0,0,3,0,0,0,0,0,0,0,0,0.4,3252,0,218,0,0,0,21,0,0,0,Crystal Palace,Everton,Arsenal,Man Utd,Watford,0,0,0,0,0,0,0,0,0,0,0,0
Luciano,Narsingh,MID,SWA,5500000,1,10,0.128205128205128,2.33100233100233E-08,1.81818181818182E-06,0,1788,0,2,0,0,0,0,0,1.8,635,0,0,10,0,0.4,0,2,0,0,0,0,2,0.1,3870,0,0,0,0,69,205,0,0,29,Burnley,Hull City,Bournemouth,Middlesbrough,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Samir,Nasri,MID,MCI,6400000,0,1,1,1.5625E-07,1.5625E-07,0,12772,0,0,0,0,0,0,0,0.2,42,-1,0,1,1,0,0,0,0,0,0,0,0,0.2,1229,0,164,0,0,16,30,0,0,0,Sunderland,Stoke,Liverpool,Arsenal,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
Kyle,Naughton,DEF,SWA,4300000,0,34,1.6,3.72093023255814E-07,7.90697674418605E-06,0,51502,4,42,0,0,0,0,0,7.9,641,-2,0,34,2,0.5,0,2.3,3,0,3,0,0,1,43609,1,239,0,0,1835,4208,0,0,333,Burnley,Hull City,Bournemouth,Middlesbrough,Tottenham,1.4,1.1,1.2,1.2,1.4,1.4,0.8,1.5,0.8,1.2,0.8,1.5
Jesus,Navas,MID,MCI,6100000,0,24,0.307692307692308,5.04413619167718E-08,3.9344262295082E-06,0,39090,1,10,0,0,0,0,0,3.9,127,-4,0,24,4,0,0,0,0,0,1,0,2,0.6,15278,0,408,0,0,510,277,0,0,106,Sunderland,Stoke,Liverpool,Arsenal,Chelsea,0.4,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Alfred,N'Diaye,MID,HUL,4500000,2,14,0.179487179487179,3.98860398860399E-08,3.11111111111111E-06,0,11106,0,3,0,0,0,1,0,3.1,4885,0,0,14,0,1,0,4.7,2,0,1,0,0,1.3,65886,0,0,0,0,270,4753,0,0,61,Leicester,Swansea,Everton,West Ham,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Wilfred,Ndidi,MID,LEI,4900000,2,12,0.153846153846154,3.13971742543171E-08,2.44897959183673E-06,0,678,0,13,0,0,0,0,0,2.4,89,-1,0,12,1,0.4,0,2,0,0,0,0,0,0,1905,0,0,0,0,540,413,0,0,90,Hull City,West Ham,Stoke,Sunderland,Everton,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Didier,Ndong,MID,SUN,4800000,2,47,2.4,5E-07,9.79166666666667E-06,0,1938,4,33,0,0,0,1,0,9.8,270,-2,0,47,2,0.8,0,4,1,0,4,0,1,0,3157,0,0,0,0,1666,133,0,0,270,Man City,Burnley,Watford,Leicester,Man Utd,1.6,0,2.9,1.8,1.6,1.9,1.5,1.2,2.1,1.8,2.1,1.2
Alvaro,Negredo,FWD,MID,6200000,1,92,3.7,5.96774193548387E-07,1.48387096774194E-05,0,1564239,4,26,0,0,0,6,0,14.6,42791,-3,1,92,3,0.3,0,1.7,13,0,8,0,4,12,1505861,0,0,0,3,2074,4251,-1,0,280,Stoke,Man Utd,Swansea,Hull City,Burnley,3.4,0,3.8,4.2,4.1,5.2,4.1,3.7,4.4,2.6,4.7,3.7
Julien,Ngoy,FWD,STK,4500000,0,5,0.0641025641025641,1.42450142450142E-08,1.11111111111111E-06,0,4417,0,1,0,0,0,0,0,1.1,178,0,0,5,0,0.1,0,0.3,0,0,0,0,0,0.1,6448,0,0,0,0,49,563,0,0,16,Middlesbrough,Man City,Chelsea,Leicester,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
M'Baye,Niang,FWD,WAT,6000000,2,17,0.217948717948718,3.63247863247863E-08,2.83333333333333E-06,0,14903,1,5,0,0,0,1,0,2.8,10168,0,0,17,0,0.8,0,5,3,0,0,0,1,0.8,46311,0,0,0,0,320,2865,0,0,70,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Oumar,Niasse,FWD,HUL,5600000,1,11,0.141025641025641,2.51831501831502E-08,1.96428571428571E-06,0,8694,1,4,0,0,0,1,0,2,4580,-4,0,11,4,0.5,0,2.7,0,0,1,0,0,0.3,18082,0,19,0,0,248,1080,0,0,29,Leicester,Swansea,Everton,West Ham,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Clinton,N'Jie,FWD,TOT,5900000,0,0,0,0,0,0,1950,0,0,0,0,0,0,0,0,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,455,0,38,0,0,0,5,0,0,0,Everton,Southampton,Burnley,Swansea,Watford,0,0,0,0,0,0,0,0,0,0,0,0
Georges-Kevin,Nkoudou,MID,TOT,6800000,0,5,0.0641025641025641,9.42684766214178E-09,7.35294117647059E-07,0,572,0,0,0,0,0,0,0,0.7,7,-2,0,5,2,0,0,0,0,0,0,0,0,0,534,0,0,0,0,40,3,0,0,15,Everton,Southampton,Burnley,Swansea,Watford,0,0,0,0,0,0,0,0,0,0,0,0
Mark,Noble,MID,WHU,6200000,2,62,2.6,4.19354838709677E-07,1E-05,0,127757,7,34,0,0,0,3,0,10,593,-3,0,62,3,0.6,1,4,5,0,6,0,0,1.3,21397,0,581,0,1,1975,266,0,0,337,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,1.8,1.6,2.9,2.3,1.3,2.2,2.4,2.3,1.7,2.1,1.6,1.7
,Nolito,MID,MCI,8400000,0,50,0.641025641025641,7.63125763125763E-08,5.95238095238095E-06,0,257126,3,6,0,0,0,4,0,6,169,-6,0,50,6,0.1,0,0.5,2,0,3,0,3,1,213409,0,0,0,1,736,71,0,1,160,Sunderland,Stoke,Liverpool,Arsenal,Chelsea,0.6,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Kristoffer,Nordfeldt,GLK,SWA,3900000,0,0,0,0,0,0,40072,0,0,0,0,0,0,0,0,1007,-1,0,0,1,0,0,0,0,0,0,0,0,2.8,41209,0,10,0,0,0,7668,0,0,0,Burnley,Hull City,Bournemouth,Middlesbrough,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0
Havard,Nordtveit,MID,WHU,4700000,0,22,0.282051282051282,6.00109110747409E-08,4.68085106382979E-06,0,5132,2,15,0,0,0,0,0,4.7,19,-3,0,22,3,0,0,0,0,0,1,0,1,0.1,1581,0,0,0,0,677,2,0,0,113,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Nsue,DEF,MID,4100000,0,10,2.5,6.09756097560976E-07,2.4390243902439E-06,0,26445,0,5,0,0,0,0,0,2.4,172,-4,0,10,4,0,0,0,0,0,1,0,0,0.2,11235,0,0,0,0,320,13,0,0,49,Stoke,Man Utd,Swansea,Hull City,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
David,Nugent,FWD,MID,4600000,0,4,1,2.17391304347826E-07,8.69565217391304E-07,0,30871,0,0,0,0,0,0,0,0.9,122,-4,0,4,4,0,0,0,0,0,0,0,0,0.2,9919,0,0,0,0,43,29,0,0,11,Stoke,Man Utd,Swansea,Hull City,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
Allan-Romeo,Nyom,DEF,WBA,4400000,1,55,2.6,5.90909090909091E-07,1.25E-05,0,72660,5,22,0,0,0,0,0,12.5,2478,-1,0,55,1,0.6,0,2.7,6,0,4,0,1,1.8,110539,0,275,0,1,1749,3365,0,0,312,Crystal Palace,Everton,Arsenal,Man Utd,Watford,3,1.7,3.3,1.6,1.6,3.2,3.6,1.9,2.6,1.4,2.8,2
Pedro,Obiang,MID,WHU,4400000,2,50,0.641025641025641,1.45687645687646E-07,1.13636363636364E-05,0,22914,6,24,0,0,0,1,0,11.4,2465,-1,0,50,1,1.2,0,5.3,6,0,4,0,2,0.8,40553,0,163,0,1,1517,5841,0,0,291,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Moses,Odubajo,DEF,HUL,4400000,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,10,-1,0,0,1,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,9,0,0,0,Leicester,Swansea,Everton,West Ham,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0
Angelo,Ogbonna,DEF,WHU,4800000,0,43,2.3,4.79166666666667E-07,8.95833333333333E-06,0,47954,2,30,0,0,0,0,0,9,485,-2,0,43,2,0,0,0,2,0,4,0,0,0.7,20164,0,284,0,0,1665,24,0,0,309,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,0,0,0,0,0,2.1,1.5,2.1,2,2.4,2.9,1.3
Stefano,Okaka,FWD,WAT,5100000,0,21,0.269230769230769,5.2790346907994E-08,4.11764705882353E-06,0,21855,3,5,0,0,0,2,0,4.1,345,-4,0,21,4,0.1,0,0.3,3,0,1,0,0,0.1,23541,0,0,0,1,371,165,0,0,74,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Eunan,O'Kane,MID,BOU,4400000,0,0,0,0,0,0,10790,0,0,0,0,0,0,0,0,36,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,1410,0,84,0,0,0,11,0,0,0,Man Utd,West Ham,Swansea,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0
Shinji,Okazaki,FWD,LEI,5600000,2,39,1.9,3.39285714285714E-07,6.96428571428571E-06,0,132443,1,18,0,0,0,2,0,7,815,-4,0,39,4,0.2,0,1,2,0,3,0,0,1.3,83846,0,320,0,0,1022,1880,0,0,130,Hull City,West Ham,Stoke,Sunderland,Everton,2.3,0,1.2,1.8,2.1,1,1.2,1.9,1,1.9,1.2,1.9
Greg,Olley,MID,HUL,4300000,0,0,0,0,0,0,909,0,0,0,0,0,0,0,0,85,-2,0,0,2,0,0,0,0,0,0,0,0,0,1505,0,0,0,0,0,208,0,0,0,Leicester,Swansea,Everton,West Ham,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0
Olufela,Olomola,MID,SOU,4400000,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,11,-1,0,0,1,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,27,0,0,0,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0
Jonas,Olsson,DEF,WBA,4200000,0,8,0.102564102564103,2.44200244200244E-08,1.9047619047619E-06,0,33536,3,13,0,0,0,0,0,1.9,279,-3,0,8,3,0,0,0,0,0,1,0,0,0.6,16155,0,261,0,0,590,168,0,0,60,Crystal Palace,Everton,Arsenal,Man Utd,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Martin,Olsson,DEF,SWA,4500000,0,18,0.230769230769231,5.12820512820513E-08,4E-06,0,1192,1,8,0,0,0,1,0,4,456,0,0,18,0,1.1,0,5,2,0,1,0,0,0.3,11844,0,0,0,1,423,4372,0,0,77,Burnley,Hull City,Bournemouth,Middlesbrough,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Aiden,O'Neill,MID,BUR,4300000,0,3,1,2.32558139534884E-07,6.97674418604651E-07,0,1653,0,4,0,0,0,0,0,0.7,30,-2,0,3,2,0,0,0,0,0,0,0,0,0,1596,0,0,0,0,85,5,0,0,16,Swansea,Liverpool,Sunderland,Tottenham,Stoke,0,0,0,0,0,0,0,0,0,0,0,0
Joshua,Onomah,MID,TOT,4200000,0,4,0.0512820512820513,1.22100122100122E-08,9.52380952380952E-07,0,3482,0,0,0,0,0,0,0,1,117,-3,0,4,3,0,0,0,0,0,0,0,0,0.1,3265,0,17,0,0,19,275,0,0,14,Everton,Southampton,Burnley,Swansea,Watford,0,0,0,0,0,0,0,0,0,0,0,0
Divock,Origi,FWD,LIV,6100000,1,57,2.6,4.26229508196721E-07,9.34426229508197E-06,0,662758,0,12,0,0,0,4,0,9.2,6903,-9,1,57,9,0.1,0,0.7,7,0,3,0,2,2.9,526707,0,200,0,1,750,970,-1,0,172,Arsenal,Burnley,Man City,Everton,Bournemouth,2.5,3.3,2.1,2.5,3,1.8,1.7,2.6,1.9,2.9,2.1,2.6
,Oriol Romeu,MID,SOU,4500000,0,53,2.2,4.88888888888889E-07,1.17777777777778E-05,0,33553,6,28,0,0,0,0,0,11.8,615,0,0,53,0,0.6,0,2.5,3,0,9,0,0,0.4,37863,0,239,0,0,2081,1234,0,0,379,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,1.6,0,1.1,1.8,1.7,1.1,1.4,1.1,2.5,1.1,1.4,1.9
,Oscar,MID,CHE,7100000,0,17,1.9,2.67605633802817E-07,2.3943661971831E-06,0,65117,1,6,0,0,0,0,0,2.4,89,-4,0,17,4,0,0,0,0,0,1,0,1,0.6,23047,0,321,0,0,455,34,0,0,104,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0
John,O'Shea,DEF,SUN,4400000,1,23,1.3,2.95454545454545E-07,5.22727272727273E-06,0,19731,2,26,0,0,0,0,0,5.2,125,-1,0,23,1,0.2,0,0.7,1,0,1,0,0,0.4,5992,0,193,0,0,1258,76,0,0,188,Man City,Burnley,Watford,Leicester,Man Utd,0.8,0,1.1,0.6,0.6,0.6,1.2,0.9,1.2,0.7,0.9,0.6
David,Ospina,GLK,ARS,4700000,0,0,0,0,0,0,6021,0,0,0,0,0,0,0,0,55,-3,0,0,3,0,0,0,0,0,0,0,0,0.2,1822,0,56,0,0,0,31,0,0,0,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas,Otamendi,DEF,MCI,5900000,0,55,2.8,4.74576271186441E-07,9.32203389830509E-06,0,121122,8,21,0,0,0,0,0,9.3,948,-1,0,55,1,0.1,0,0.5,8,0,4,0,2,2.6,65966,0,353,0,1,1692,4123,0,0,394,Sunderland,Stoke,Liverpool,Arsenal,Chelsea,5.4,0,3.8,3.1,2.4,3.3,2.7,3.4,2.4,3.1,2.7,2.1
Mamadou Obbi,Oulare,FWD,WAT,4500000,0,0,0,0,0,0,755,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,7,0,0,0,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,Oviedo,MID,SUN,4300000,1,15,0.192307692307692,4.47227191413238E-08,3.48837209302326E-06,0,11544,4,13,0,0,0,0,0,3.5,320,-2,0,15,2,0.5,0,2,0,0,2,0,0,0.2,11197,0,130,0,0,745,274,0,0,120,Man City,Burnley,Watford,Leicester,Man Utd,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Reece,Oxford,DEF,WHU,4200000,0,0,0,0,0,0,19397,0,0,0,0,0,0,0,0,90,-3,0,0,3,0,0,0,0,0,0,0,0,0.3,2653,0,28,0,0,0,2,0,0,0,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
Mesut,Ozil,MID,ARS,9400000,0,103,4.7,5E-07,1.09574468085106E-05,0,561131,0,20,0,0,0,5,0,11,11629,-1,0,103,1,0.3,0,2.5,10,0,7,0,6,5.9,512254,0,783,0,1,1862,691,0,0,445,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0,0,4,4.4,4.3,4.9,4.9,6.7,3.2,5.1,4.4,5.6
Alex,Palmer,GLK,WBA,4000000,0,0,0,0,0,0,1823,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2721,0,0,0,0,0,14,0,0,0,Crystal Palace,Everton,Arsenal,Man Utd,Watford,0,0,0,0,0,0,0,0,0,0,0,0
Costel,Pantilimon,GLK,WAT,4300000,0,2,0.0256410256410256,5.96302921884317E-09,4.65116279069767E-07,0,14766,0,4,0,6,0,0,0,0.5,148,-2,0,2,2,0,0,0,0,0,0,0,0,0.4,2656,0,146,0,0,83,8,0,0,20,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0
Juan Carlos,Paredes,DEF,WAT,4000000,0,0,0,0,0,0,447125,0,0,0,0,0,0,0,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,4.2,14348,0,88,0,0,0,14,0,0,0,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0
,Pau Lopez,GLK,TOT,5000000,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,7,0,0,0,Everton,Southampton,Burnley,Swansea,Watford,0,0,0,0,0,0,0,0,0,0,0,0
Dimitri,Payet,MID,WHU,9000000,0,81,4.5,5E-07,9E-06,0,968755,2,28,0,0,0,2,0,9,2263,-5,0,81,5,0,0,0,10,0,4,0,8,6.5,248363,0,701,0,1,1513,14,0,0,347,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
,Pedro,MID,CHE,7100000,12,116,1.48717948717949,2.09461899602745E-07,1.63380281690141E-05,0,397428,5,7,0,0,0,7,0,16.6,14090,-4,-1,116,4,1.2,0,8.3,15,0,11,0,7,9,743073,0,399,0,4,1352,109234,1,0,386,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,0.7,0,0.7,0.9,0.7,0.7,0.7,0.9,0.7,1.1,0.7,1.4
Matthew,Pennington,DEF,EVE,3900000,0,0,0,0,0,0,18631,0,0,0,0,0,0,0,0,529,-1,0,0,1,0,0,0,0,0,0,0,0,0.6,27217,0,53,0,0,0,1375,0,0,0,Tottenham,West Brom,Hull City,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
Andreas,Pereira,MID,MUN,4400000,0,0,0,0,0,0,2798,0,0,0,0,0,0,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,720,0,12,0,0,0,2,0,0,0,Bournemouth,Middlesbrough,West Brom,Everton,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0
Roberto,Pereyra,MID,WAT,5800000,0,43,3.3,5.68965517241379E-07,7.41379310344828E-06,0,61858,2,17,0,0,0,2,0,7.4,90,-2,0,43,2,0,0,0,2,0,3,0,3,0.2,63280,0,0,0,0,1036,17,0,1,186,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0,0,0,0,0,1.6,3.3,3.1,2.5,2.7,2.3,2.6
Lucas,Perez,FWD,ARS,7800000,0,19,1.9,2.43589743589744E-07,2.43589743589744E-06,0,41265,0,1,0,0,0,1,0,2.4,187,-7,0,19,7,0.3,0,2,0,0,1,0,1,0.1,41462,0,0,0,0,255,203,0,0,81,Liverpool,West Brom,Man City,West Ham,Crystal Palace,1.3,0,1.1,1.6,1.7,1.4,1.2,2,1,1.3,1.2,1.4
Matt,Phillips,MID,WBA,5700000,0,111,4.6,8.07017543859649E-07,1.94736842105263E-05,0,596148,1,25,0,0,0,4,0,19.1,203236,2,1,111,-2,0.2,0,1.3,12,0,6,0,9,15,1193191,0,0,0,2,1985,4814,-1,0,352,Crystal Palace,Everton,Arsenal,Man Utd,Watford,0,3.7,4.3,4.2,4.9,5.5,4.4,3.4,6.6,4,4.7,4.3
Michael,Phillips,MID,CRY,4500000,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,27,0,0,0,West Brom,Watford,Chelsea,Southampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Pickford,GLK,SUN,4100000,3,57,3.4,8.29268292682927E-07,1.39024390243902E-05,0,405559,0,29,0,79,0,0,0,13.9,3544,1,0,57,-1,0.2,0,1,3,0,2,0,0,9.1,428880,0,18,0,2,1530,7395,0,0,348,Man City,Burnley,Watford,Leicester,Man Utd,3.8,0,4.4,2.6,2.2,3.1,4.8,3.8,4.6,3.2,4,2.9
Jeremy,Pied,DEF,SOU,4700000,0,1,0.0128205128205128,2.72776868521549E-09,2.12765957446809E-07,0,2724,0,0,0,0,0,0,0,0.2,9,-3,0,1,3,0,0,0,0,0,0,0,0,0,237,0,0,0,0,12,4,0,0,2,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Pienaar,MID,SUN,4800000,0,15,0.192307692307692,4.00641025641026E-08,3.125E-06,0,1016,4,13,0,0,0,0,0,3.1,13,-2,0,15,2,0.1,0,0.7,0,0,2,0,0,0,927,0,0,0,0,748,8,0,1,74,Man City,Burnley,Watford,Leicester,Man Utd,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Erik,Pieters,DEF,STK,4600000,0,75,3,6.52173913043478E-07,1.6304347826087E-05,0,225618,4,36,0,0,0,0,0,16.3,7012,1,0,75,-1,0.7,0,3.3,7,0,7,0,2,8.1,376751,0,388,0,0,2250,31841,0,0,462,Middlesbrough,Man City,Chelsea,Leicester,Burnley,5.8,0,3.4,1.8,1.9,4.3,3.8,2.6,4.1,2.9,3.9,2.8
Alex,Pike,DEF,WHU,4000000,0,0,0,0,0,0,1181,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,0,0,0,0,0,6,0,0,0,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
Sebastien,Pocognoli,DEF,WBA,4000000,0,0,0,0,0,0,18735,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1923,0,16,0,0,0,7,0,0,0,Crystal Palace,Everton,Arsenal,Man Utd,Watford,0,0,0,0,0,0,0,0,0,0,0,0
